id_quadro,quadro,id_lista,lista,id_cartao,cartao,descricao,data_inicio,data_fim,lead_time,id_checklist,checklist,quant_itens
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,60ba272ec6e54e409a81ed98,Criar Tela de parâmetros,sem descricao,2023-05-05,2023-09-20,138,6129271015ac5939daf69eaf,checklist,2
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,6157820274dcb50de624d37e,Registro do pedido de acordo com deságio no regime especial e atualização de cálculo / $$ / E,"Como Usuário do SIPAG 
Eu quero registrar um pedido de deságio no regime especial para um ente público
Para atualização de cálculo com incidência do percentual de deságio

Regra de negócio: Deve ser inserido em outra fila de precatórios, precatório de acordo (não cronológico).
Os valores de todas as rubricas devem ser abatidos em 40%, devido ao acordo.
Os precatórios de acordo deverão permanecer também na ordem cronológica, até que haja a quitação dos valores.
Os valores destinados ao pagamento de precatórios de acordo são decorrentes de conta judicial diferente da conta dos precatórios de ordem cronológica.

‌

- atentar para as regras do gprec pra que os sistemas fiquem consistentes. Existem 4 tipos de acordo no Gprec, desagio e um deles. O cadastro da RP no acordo sera no gprec ou no sip?? Como sera a integracao?
- analisar possibilidade de parametrizacao visando reutilizar telas de precatorios e de liberacao de pagamento,  etc -> SIM
- avaliar melhor forma de aplicar o desconto: persistir o valor com desconto ou usar outro campo e calcular na hora de exibir (vale a pena usar o campo vl_ajuste???) ->",2023-12-07,2023-12-07,1,64e88a7d1cd5ec84526a5109,observacoes,15
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,6157821b4d61dc3f8e1dc45f,Gerar resumo de cálculo com deságio para juntada ao processo / $$ / E,"Como Usuário do SIPAG 
Eu quero que o sistema gere um resumo dos cálculos
Para juntada no processo e notificação das partes

Regra de negócio: o usuário deverá anexar este resumo no PJe para elaborar a notificação. O SIPAG não fará comunicação direta com o PJe.",2023-09-06,2023-12-07,92,sem checklist,sem checklist,0
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,615782303468a42eb5ed3d74,Homologação do acordo e inclusão na planilha para pagamento / $$ / E,"Como Usuário do SIPAG 
Eu quero registrar os precatórios que foram homologados na planilha
Para realização de pagamento

Regra de negócio: Poderá haver mais de um lote de acordo.
Precatório não homologados em um acordo deverão ser retirados desse lote e poderão ser incluídos em outro lote de acordo.****",2023-12-07,2023-12-07,1,sem checklist,sem checklist,0
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,616ec5f82bf8cb51011fd267,Fazer resumo de valores na tela de pesquisa de precatórios,"DUVIDA: Quando for precatorio com N beneficiarios, estamos listando separadamente na tela N vezes. Devemos contar como 1 ou como N ??",2023-09-12,2023-09-20,8,616ec607278a0445812b9356,checklist,6
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,623489b13be66e624b82d736,Alterações tela de alvará - mostrar conta destino e novo filtro,sem descricao,2023-08-18,2023-09-20,33,623489c5f3c6f0474589cab0,checklist,2
632de9ba9a8f070108a20b95,Time Remessa,632de9ba9a8f070108a20ba1,concluido,632de9ba9a8f070108a20d3f,PJEKZ-32845 > PJEKZ-71081[Remessa] Baixa de processos em lote - pedidos iniciais,Aguardando versão alvo para encaminharmos para integração.,2024-03-05,2024-03-05,1,6347fe5987685b043936e652,checklist,4
632de9ba9a8f070108a20b95,Time Remessa,632de9ba9a8f070108a20ba1,concluido,6348439ffdae62041a815d25,PJEKZ-72376 [Remessa] Baixa de processos em lote - novos pedidos (PJEKZ-32845),sem descricao,2022-10-13,2024-03-05,509,635aaed9ac2b9a00ae6a69e8,checklist,3
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,63cfce4215cfcfee1d97f31a,Atualização na geração de aportes,sem descricao,2023-04-12,2023-12-07,239,63cfce479d6884bd65524409,checklist,9
5e7b59181c3ddf39d72541e4,Time SIP,5e7ba00591f196223df093e9,concluido,640f360d9deaf8321ac7bf27,FPM Banco do Brasil - SIA,"Prezado Raphael,

Conforme contato telefônico, segue em anexo o manual do BB SIA, para integração dos arquivos. Para automatizar o processo no seu ERP, será necessário criar uma rotina. Você consegue configurar a pasta de retorno para onde pretende enviar o arquivo. Desde que faça o download do aplicativo dentro do computador onde está hospedado o Servidor das pastas.

Após a análise do manual, caso queira implementar, peço que nos retorne este e-mail com a solicitação, pois a agência precisará enviar ao TRT o termo de adesão para assinatura e a partir daí eu solicito as credenciais.

Atenciosamente,

Prezados,

‌

‌

Referente a solicitação para habilitação de BB SIA:

Nome: TRIBUNAL REGIONAL DO TRABALHO 5A REGIAO BA
Inscrição: 2839639000190

Convênios habilitados: 168;

O manual atualizado da solução e o instalador do BB SIA Client encontram-se disponíveis em [https://gmtedi.bb.com.br](https://gmtedi.bb.com.br/ ""‌"") -> Documentação e Downloads.

O cliente poderá optar por uma das versões ou utilizar em conjunto a versão BB SIA Client (permite automatização) ou BB SIA Web (versão manual), sendo que o convênio já está habilitado para ser transmitido e recebido via BB SIA.

O acompanhamento do protocolo de transmissão dos arquivos deve ser efetuado pelo cliente no BB SIA Web (htttps://[gmtedi.bb.com.br](http://gmtedi.bb.com.br/ ""‌"")) - Consulta Protocolos.

Login  :   BB\_TRT5\_ZETRA

Senha provisória: 12345678a",2023-08-09,2023-09-20,42,sem checklist,sem checklist,0
